"","Subject","MType","Group","ACC"
"129","39a234f0","tbr","A",0.372745358090186
"130","3c3d554a","f0","A",0.540844854070661
"131","3c3d554a","full","A",0.665928853754941
"132","3c3d554a","tbr","A",0.399754901960784
"133","3d3bbe78","f0","A",0.660731969555499
"134","3d3bbe78","full","A",0.796746138851402
"135","3d3bbe78","tbr","A",0.602304147465438
"136","3e232fdc","f0","C",0.541666666666667
"137","3e232fdc","full","C",0.708333333333333
"138","3e232fdc","tbr","C",0.416666666666667
"139","420281f8","f0","A",0.598860398860399
"140","420281f8","full","A",0.705962585256572
"141","420281f8","tbr","A",0.344998032657879
"142","45eeb9e9","f0","A",0.420988612836439
"143","45eeb9e9","full","A",0.577789046653144
"144","45eeb9e9","tbr","A",0.367721861471861
"145","4964d924","f0","M",0.59375
"146","4964d924","full","M",0.65625
"147","4964d924","tbr","M",0.28125
"148","49b9b3ec","f0","A",0.709472049689441
"149","49b9b3ec","full","A",0.818247126436782
"150","49b9b3ec","tbr","A",0.411050412293853
"151","4b52d9bd","f0","A",0.675114966555184
"152","4b52d9bd","full","A",0.797916666666667
"153","4b52d9bd","tbr","A",0.519471153846154
"154","4e408b32","f0","M",0.59375
"155","4e408b32","full","M",0.729166666666667
"156","4e408b32","tbr","M",0.34375
"157","53a653db","f0","A",0.76745951417004
"158","53a653db","full","A",0.860507246376812
"159","53a653db","tbr","A",0.413308913308913
"160","53b9a972","f0","C",0.541666666666667
"161","53b9a972","full","C",0.6875
"162","53b9a972","tbr","C",0.34375
"163","552e0861","f0","A",0.708488170444692
"164","552e0861","full","A",0.745734999767258
"165","552e0861","tbr","A",0.413106406355646
"166","5746bdf9","f0","C",0.71875
"167","5746bdf9","full","C",0.770833333333333
"168","5746bdf9","tbr","C",0.53125
"169","5846c1bb","f0","A",0.781013957307061
"170","5846c1bb","full","A",0.895666434459538
"171","5846c1bb","tbr","A",0.4166168261563
"172","58520712","f0","M",0.697916666666667
"173","58520712","full","M",0.875
"174","58520712","tbr","M",0.427083333333333
"175","58deb6f7","f0","C",0.447916666666667
"176","58deb6f7","full","C",0.645833333333333
"177","58deb6f7","tbr","C",0.375
"178","5c4e274d","f0","A",0.710484870166131
"179","5c4e274d","full","A",0.748393581399736
"180","5c4e274d","tbr","A",0.332144979203803
"181","5c9f5075","f0","C",0.447916666666667
"182","5c9f5075","full","C",0.614583333333333
"183","5c9f5075","tbr","C",0.416666666666667
"184","5d221b19","f0","C",0.541666666666667
"185","5d221b19","full","C",0.59375
"186","5d221b19","tbr","C",0.302083333333333
"187","5dde584f","f0","M",0.666666666666667
"188","5dde584f","full","M",0.78125
"189","5dde584f","tbr","M",0.385416666666667
"190","5f457077","f0","A",0.715729541244415
"191","5f457077","full","A",0.77135068854933
"192","5f457077","tbr","A",0.384787087912088
"193","5fe5defb","f0","M",0.59375
