"","Subject","Group","fea_f0","fea_full","fea_tbr","hap_f0","hap_full","hap_tbr","ple_f0","ple_full","ple_tbr","sad_f0","sad_full","sad_tbr"
"1","006ead65","C",0.5,0.708333333333333,0.208333333333333,0.625,0.791666666666667,0.25,0.5,0.708333333333333,0.458333333333333,0.791666666666667,0.791666666666667,0.458333333333333
"2","0129a79c","A",0.375,0.45,0.148148148148148,0.766666666666667,1,0.357142857142857,0.36,0.352941176470588,0.541666666666667,0.666666666666667,0.6,0.535714285714286
"3","01e4b1dd","M",0.541666666666667,0.708333333333333,0.291666666666667,0.75,1,0.375,0.708333333333333,0.75,0.5,0.666666666666667,0.583333333333333,0.458333333333333
"4","046aea9b","A",0.461538461538462,0.5,0.16,0.857142857142857,1,0.344827586206897,0.566666666666667,0.7,0.538461538461538,0.5,0.454545454545455,0.625
"5","04ee791f","A",0.315789473684211,0.5,0.0909090909090909,1,1,0.384615384615385,0.46875,0.807692307692308,0.25,0.833333333333333,0.789473684210526,0.269230769230769
"6","04fd8955","A",0.740740740740741,0.846153846153846,0.444444444444444,0.818181818181818,1,0.36,0.5,0.958333333333333,0.6,0.571428571428571,0.771428571428571,0.310344827586207
"7","05c96b27","M",0.458333333333333,0.416666666666667,0.208333333333333,0.75,0.875,0.375,0.291666666666667,0.541666666666667,0.291666666666667,0.666666666666667,0.666666666666667,0.5
"8","0703d03f","A",0.4375,0.653846153846154,0.357142857142857,0.91304347826087,0.96969696969697,0.346153846153846,0.25,0.666666666666667,0.260869565217391,0.764705882352941,0.785714285714286,0.592592592592593
"9","08b28f4f","M",0.375,0.625,0.0833333333333333,0.583333333333333,1,0.708333333333333,0.333333333333333,0.583333333333333,0.291666666666667,0.833333333333333,0.916666666666667,0.791666666666667
"10","0982556e","A",0.518518518518518,0.76,0.217391304347826,0.578947368421053,0.724137931034483,0.478260869565217,0.352941176470588,0.391304347826087,0.333333333333333,0.36,0.222222222222222,0.645161290322581
"11","0d314033","A",0.541666666666667,0.833333333333333,0.227272727272727,0.958333333333333,0.970588235294118,0.478260869565217,0.28125,0.476190476190476,0.416666666666667,0.545454545454545,0.653846153846154,0.363636363636364
"12","0e85a85a","C",0.75,0.75,0.666666666666667,0.875,1,0.541666666666667,0.416666666666667,0.5,0.208333333333333,0.666666666666667,0.708333333333333,0.458333333333333
"13","131178b3","A",0.833333333333333,0.722222222222222,0.461538461538462,0.518518518518518,0.909090909090909,0.206896551724138,0.363636363636364,0.620689655172414,0.227272727272727,0.826086956521739,0.894736842105263,0.75
"14","13e3517c","A",0.821428571428571,0.863636363636364,0.636363636363636,0.80952380952381,1,0.6,0.608695652173913,0.769230769230769,0.578947368421053,0.6,0.826086956521739,0.52
"15","14482273","A",0.5,0.571428571428571,0.16,0.882352941176471,0.928571428571429,0.260869565217391,0.391304347826087,0.607142857142857,0.4,0.774193548387097,0.833333333333333,0.5
"16","16c7b14e","C",0.541666666666667,0.708333333333333,0.291666666666667,0.916666666666667,0.916666666666667,0.541666666666667,0.666666666666667,0.666666666666667,0.375,0.458333333333333,0.458333333333333,0.5
"17","16f7b9cd","A",0.526315789473684,0.68,0.272727272727273,0.888888888888889,0.96,0.608695652173913,0.347826086956522,0.518518518518518,0.285714285714286,0.681818181818182,0.833333333333333,0.423076923076923
"18","16ff3610","C",0.458333333333333,0.416666666666667,0.0416666666666667,0.791666666666667,0.958333333333333,0.25,0.625,0.958333333333333,0.583333333333333,0.708333333333333,0.791666666666667,0.625
"19","1a4d3592","A",0.708333333333333,0.692307692307692,0.428571428571429,0.761904761904762,1,0.346153846153846,0.4375,0.72,0.291666666666667,0.666666666666667,0.941176470588235,0.5
"20","1cafbf78","M",0.416666666666667,0.5,0.0416666666666667,0.916666666666667,1,0.583333333333333,0.583333333333333,0.833333333333333,0.333333333333333,0.875,0.958333333333333,0.75
