"","Subject","Group","ACC"
"144","e05c2243","M",0.611111111111111
"145","e13207e8","M",0.621527777777778
"146","e5776088","M",0.579861111111111
"147","e6f48dc1","M",0.545138888888889
"148","e7786434","M",0.569444444444444
"149","e852c63d","A",0.662603501006371
"150","e8c8abac","C",0.541666666666667
"151","e9dcbdfb","C",0.565972222222222
"152","eac06b9a","A",0.653430100703596
"153","ededba4f","C",0.565972222222222
"154","ee8ba1b3","M",0.628472222222222
"155","ef4e53d6","C",0.513888888888889
"156","f32b7d38","A",0.509640934473628
"157","f3490f82","A",0.623144699311338
"158","f3b4140d","C",0.590277777777778
"159","f51c6a08","A",0.600892102433079
"160","f68d9943","A",0.54576482011646
"161","f70f03e4","M",0.670138888888889
"162","f88bdf93","A",0.648786320909631
"163","fd29b2f1","A",0.533955867785203
"164","fe1283f9","M",0.65625
"165","feded5f4","A",0.657814386647339
"166","ff1d4fec","C",0.649305555555556
