"","Subject","Group","f0","full","tbr","Mean"
"1","006ead65","C",0.604166666666667,0.75,0.34375,0.565972222222222
"2","0129a79c","A",0.542083333333333,0.600735294117647,0.395667989417989,0.512828872289657
"3","046aea9b","A",0.596336996336996,0.663636363636364,0.417072281167109,0.55901521371349
"4","04ee791f","A",0.654468201754386,0.774291497975709,0.248688811188811,0.559149503639635
"5","04fd8955","A",0.657587782587783,0.893978937728938,0.428697318007663,0.660088012774794
"6","0703d03f","A",0.591312340153453,0.768981018981019,0.389189715276672,0.583161024803715
"7","0982556e","A",0.45260176585254,0.524416125270698,0.418536699392239,0.465184863505159
"8","0d314033","A",0.581676136363636,0.73348954966602,0.371459156785244,0.5622082809383
"9","0e85a85a","C",0.677083333333333,0.739583333333333,0.46875,0.628472222222222
"10","131178b3","A",0.635393793002489,0.786684907147702,0.411426935133832,0.611168545094674
"11","13e3517c","A",0.709912008281574,0.864738522347218,0.583827751196172,0.719492760608321
"12","14482273","A",0.636962709347414,0.735119047619048,0.330217391304348,0.567433049423603
"13","16c7b14e","C",0.645833333333333,0.6875,0.427083333333333,0.586805555555555
"14","16f7b9cd","A",0.611212236784319,0.747962962962963,0.397553533423099,0.585576244390127
"15","16ff3610","C",0.645833333333333,0.78125,0.375,0.600694444444445
"16","1a4d3592","A",0.64360119047619,0.838371040723982,0.391597985347985,0.624523405516053
"17","1d02e7f7","C",0.625,0.75,0.385416666666667,0.586805555555556
"18","1d0d6b00","A",0.444642857142857,0.530025781299126,0.304503716187019,0.426390784876334
"19","1f5b1d12","A",0.72202380952381,0.849400882692625,0.379241886409736,0.65022219287539
"20","1fcd9703","A",0.645507340867381,0.737268518518518,0.39508909472063,0.592621651368843
"21","22575a7a","A",0.513447079236553,0.74227392977393,0.399151212924004,0.551624073978162
"22","2317733b","A",0.698427076144468,0.830627705627706,0.49321240353849,0.674089061770221
"23","265c651e","A",0.584860960513238,0.778544061302682,0.417311230748262,0.593572084188061
"24","2813cf23","A",0.501025883838384,0.581285366931919,0.378409090909091,0.486906780559798
"25","2a37084e","C",0.53125,0.677083333333333,0.46875,0.559027777777778
"26","2e65ce6e","A",0.602858293075684,0.689916564916565,0.390833333333333,0.561202730441861
"27","318c705f","C",0.583333333333333,0.739583333333333,0.447916666666667,0.590277777777778
"28","324cea26","A",0.628623188405797,0.81372349539516,0.418295454545455,0.62021404611547
"29","34bc7021","A",0.649769685652039,0.709497126436782,0.428335680337969,0.595867497475596
"30","3655c713","C",0.6875,0.854166666666667,0.447916666666667,0.663194444444444
"31","36d3024f","A",0.629398148148148,0.725593034416564,0.451754385964912,0.602248522843208
"32","38c800a9","A",0.719001610305958,0.794840827449523,0.441435185185185,0.651759207646889
"33","390dc09f","A",0.68038740245262,0.809047619047619,0.351967592592593,0.613800871364277
"34","39a234f0","A",0.576788720538721,0.721861471861472,0.372745358090186,0.557131850163459
"35","3c3d554a","A",0.540844854070661,0.665928853754941,0.399754901960784,0.535509536595462
"36","3d3bbe78","A",0.660731969555499,0.796746138851402,0.602304147465438,0.68659408529078
"37","3e232fdc","C",0.541666666666667,0.708333333333333,0.416666666666667,0.555555555555555
"38","420281f8","A",0.598860398860399,0.705962585256572,0.344998032657879,0.54994033892495
"39","45eeb9e9","A",0.420988612836439,0.577789046653144,0.367721861471861,0.455499840320481
"40","49b9b3ec","A",0.709472049689441,0.818247126436782,0.411050412293853,0.646256529473359
"41","4b52d9bd","A",0.675114966555184,0.797916666666667,0.519471153846154,0.664167595689335
