"","Subject","Group","f0","full","tbr","Mean"
"1","0129a79c",2,0.542083333333333,0.600735294117647,0.395667989417989,0.512828872289657
"2","046aea9b",2,0.596336996336996,0.663636363636364,0.417072281167109,0.55901521371349
"3","04ee791f",1,0.654468201754386,0.774291497975709,0.248688811188811,0.559149503639635
"4","04fd8955",2,0.657587782587783,0.893978937728938,0.428697318007663,0.660088012774794
"5","0703d03f",1,0.591312340153453,0.768981018981019,0.389189715276672,0.583161024803715
"6","0982556e",2,0.45260176585254,0.524416125270698,0.418536699392239,0.465184863505159
"7","0d314033",2,0.581676136363636,0.73348954966602,0.371459156785244,0.5622082809383
"8","131178b3",2,0.635393793002489,0.786684907147702,0.411426935133832,0.611168545094674
"9","13e3517c",2,0.709912008281574,0.864738522347218,0.583827751196172,0.719492760608321
"10","14482273",1,0.636962709347414,0.735119047619048,0.330217391304348,0.567433049423603
"11","16f7b9cd",1,0.611212236784319,0.747962962962963,0.397553533423099,0.585576244390127
"12","1a4d3592",1,0.64360119047619,0.838371040723982,0.391597985347985,0.624523405516053
"13","1d0d6b00",1,0.444642857142857,0.530025781299126,0.304503716187019,0.426390784876334
"14","1f5b1d12",1,0.72202380952381,0.849400882692625,0.379241886409736,0.65022219287539
"15","1fcd9703",2,0.645507340867381,0.737268518518518,0.39508909472063,0.592621651368843
"16","22575a7a",2,0.513447079236553,0.74227392977393,0.399151212924004,0.551624073978162
"17","2317733b",1,0.698427076144468,0.830627705627706,0.49321240353849,0.674089061770221
"18","265c651e",1,0.584860960513238,0.778544061302682,0.417311230748262,0.593572084188061
"19","2813cf23",2,0.501025883838384,0.581285366931919,0.378409090909091,0.486906780559798
"20","2e65ce6e",2,0.602858293075684,0.689916564916565,0.390833333333333,0.561202730441861
"21","324cea26",2,0.628623188405797,0.81372349539516,0.418295454545455,0.62021404611547
"22","34bc7021",1,0.649769685652039,0.709497126436782,0.428335680337969,0.595867497475596
"23","36d3024f",1,0.629398148148148,0.725593034416564,0.451754385964912,0.602248522843208
"24","38c800a9",2,0.719001610305958,0.794840827449523,0.441435185185185,0.651759207646889
"25","390dc09f",1,0.68038740245262,0.809047619047619,0.351967592592593,0.613800871364277
"26","39a234f0",2,0.576788720538721,0.721861471861472,0.372745358090186,0.557131850163459
"27","3c3d554a",1,0.540844854070661,0.665928853754941,0.399754901960784,0.535509536595462
"28","3d3bbe78",2,0.660731969555499,0.796746138851402,0.602304147465438,0.68659408529078
"29","420281f8",2,0.598860398860399,0.705962585256572,0.344998032657879,0.54994033892495
"30","45eeb9e9",1,0.420988612836439,0.577789046653144,0.367721861471861,0.455499840320481
"31","49b9b3ec",2,0.709472049689441,0.818247126436782,0.411050412293853,0.646256529473359
"32","4b52d9bd",1,0.675114966555184,0.797916666666667,0.519471153846154,0.664167595689335
"33","53a653db",1,0.76745951417004,0.860507246376812,0.413308913308913,0.680425224618588
"34","552e0861",2,0.708488170444692,0.745734999767258,0.413106406355646,0.622443192189199
"35","5846c1bb",1,0.781013957307061,0.895666434459538,0.4166168261563,0.697765739307633
"36","5c4e274d",2,0.710484870166131,0.748393581399736,0.332144979203803,0.597007810256557
"37","5f457077",1,0.715729541244415,0.77135068854933,0.384787087912088,0.623955772568611
"38","720dfefd",1,0.650718390804598,0.799662162162162,0.569627192982456,0.673335915316405
"39","73314bd1",1,0.531752873563218,0.673321678321678,0.315258563899868,0.506777705261588
"40","76e8cb48",1,0.73216979099332,0.802884615384615,0.33759746588694,0.624217290754958
"41","7eabca12",1,0.641603589173922,0.857142857142857,0.326524868878692,0.608423771731824
"42","82a6607f",2,0.683359369266416,0.796862557732123,0.383187464709204,0.621136463902581
"43","863033bd",2,0.639891304347826,0.719389619883041,0.354191370223979,0.571157431484949
